RIC,Fiscal_Year,Currency,Market_Cap,Enterprise_Value,Revenue,EBITDA,EBIT,Net_Income,Total_Debt,Cash,Book_Equity,Fleet_Total,Fleet_Tankers,Fleet_Bulkers,DWT_Total,Source,Source_Date,Notes
001205.SZ,TTM/public snapshot,CNY,2842613504.0,4668965888.0,1474795648.0,456337088.0,,110028488.0,2112267136.0,259524400.0,2234610005.124,,,,,Yahoo Finance via yfinance (001205.SZ),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
003280.KS,TTM/public snapshot,KRW,691962773504.0,721146871808.0,180812759040.0,40388079616.0,,30590840832.0,147755139072.0,130435792896.0,,,,,,Yahoo Finance via yfinance (003280.KS),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
005880.KS,TTM/public snapshot,KRW,839143063552.0,2196084883456.0,1276968173568.0,322978873344.0,,180205305856.0,1509782454272.0,410227048448.0,,,,,,Yahoo Finance via yfinance (005880.KS),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
028670.KS,TTM/public snapshot,KRW,3014971883520.0,6463691948032.0,5432887738368.0,1012623998976.0,,301407010816.0,4486277890048.0,1037558022144.0,,,,,,Yahoo Finance via yfinance (028670.KS),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
044450.KS,TTM/public snapshot,KRW,288089210880.0,1506877898752.0,561395204096.0,226565111808.0,,36561604608.0,1286592528384.0,67803844608.0,,,,,,Yahoo Finance via yfinance (044450.KS),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
2343.HK,TTM/public snapshot,USD,16004641792.0,15898465280.0,2081038976.0,221692000.0,,58172000.0,230420992.0,270559008.0,14440854931.201292,261,0,261,,Yahoo Finance via yfinance (2343.HK),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
2606.TW,TTM/public snapshot,TWD,53069500416.0,77185744896.0,15565819904.0,7425336832.0,,3640393984.0,46550261760.0,22096011264.0,38879323197.696,,,,,Yahoo Finance via yfinance (2606.TW),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
2612.TW,TTM/public snapshot,TWD,10999892992.0,19036758016.0,4886282240.0,2340580096.0,,1077965952.0,11592397824.0,3397392896.0,13507946640.000002,,,,,Yahoo Finance via yfinance (2612.TW),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
2617.TW,TTM/public snapshot,TWD,12226714624.0,15711465472.0,4299837952.0,2511982080.0,,1325648000.0,6713134080.0,3437029888.0,17839735794.0,,,,,Yahoo Finance via yfinance (2617.TW),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
2637.TW,TTM/public snapshot,USD,55234269184.0,55406821376.0,541957248.0,248325392.0,,126252000.0,1000470272.0,156146464.0,48468120663.63,,,,,Yahoo Finance via yfinance (2637.TW),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
3683.HK,TTM/public snapshot,USD,60967268.0,120901264.0,4748000.0,3250000.0,,-6084000.0,58381000.0,2820000.0,29857578.625710454,,,,,Yahoo Finance via yfinance (3683.HK),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
5608.TW,TTM/public snapshot,TWD,5955861504.0,11460403200.0,3183906048.0,1171282944.0,,-49519000.0,7476587008.0,2056433024.0,9475659024.0,,,,,Yahoo Finance via yfinance (5608.TW),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
601872.SS,TTM/public snapshot,CNY,142111883264.0,166186106880.0,31138050048.0,10938728448.0,,7910068736.0,28585256960.0,5271131648.0,45063999379.662,,,,,Yahoo Finance via yfinance (601872.SS),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
601919.SS,TTM/public snapshot,CNY,216215142400.0,193548681216.0,213340258304.0,36914671616.0,,25050548224.0,74008068096.0,150406529024.0,191356611230.64,590,0,0,,Yahoo Finance via yfinance (601919.SS),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
603209.SS,TTM/public snapshot,CNY,4836000256.0,5658353152.0,1535685888.0,573505600.0,,266159376.0,1595220992.0,1073387712.0,3323775000.0,,,,,Yahoo Finance via yfinance (603209.SS),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
9115.T,TTM/public snapshot,JPY,44068909056.0,180991918080.0,64422998016.0,23778500608.0,,5913999872.0,149697003520.0,56364998656.0,51959016326.91,,,,,Yahoo Finance via yfinance (9115.T),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
9119.T,TTM/public snapshot,JPY,171929649152.0,283476656128.0,128098000896.0,28454500352.0,,16865000448.0,135938998272.0,24489000960.0,153144983076.70398,,,,,Yahoo Finance via yfinance (9119.T),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
9130.T,TTM/public snapshot,JPY,12373935104.0,47487934464.0,15614999552.0,5739250176.0,,647000000.0,43185999872.0,8072000000.0,25069003264.943,,,,,Yahoo Finance via yfinance (9130.T),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
BLTA.JK,TTM/public snapshot,USD,1062275579904.0,1063584464896.0,48092292.0,13353272.0,,3600839.0,60794720.0,24023380.0,70356871.281,,,,,Yahoo Finance via yfinance (BLTA.JK),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
CCEC.OQ,TTM/public snapshot,USD,1178223488.0,3242815488.0,392705984.0,323734016.0,,113394000.0,2354337024.0,273843008.0,1519908343.3799999,,,,,Yahoo Finance via yfinance (CCEC),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
CCL.N,TTM/public snapshot,USD,35556532224.0,60757532672.0,26976999424.0,7255000064.0,,3096000000.0,26606999552.0,1424000000.0,11657752994.708,90,0,0,,Yahoo Finance via yfinance (CCL),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
CISS.OQ,TTM/public snapshot,USD,1889142.0,-13071387.0,34755612.0,7866314.0,,4183254.0,24751.0,14940639.0,533101481.09499997,,,,,Yahoo Finance via yfinance (CISS),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
CTRM.OQ,TTM/public snapshot,USD,19517954.0,74052880.0,81814408.0,13386062.0,,10925627.0,91643600.0,180635456.0,525429148.16599995,,,,,Yahoo Finance via yfinance (CTRM),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
DHT.N,TTM/public snapshot,USD,2993763840.0,3349363968.0,551342976.0,321027008.0,,211092000.0,434572992.0,79044000.0,1134860415.939,23,23,0,,Yahoo Finance via yfinance (DHT),2026-05-05,Public market snapshot for dashboard analysis; replace with annual-report inputs for thesis final model.
